Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Date Time,Country Label,unknown,AQI_Category
JP,unknown,?????????????????,"33.880833, 130.873056",NO,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????????????,"33.898056, 130.81",NO2,japan-soramame,ppm,0.005,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????????????,"33.895833, 130.935833",NOX,japan-soramame,ppm,0.013,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????,"42.786944, 141.605",NO2,japan-soramame,ppm,0.004,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????????,"35.653889, 140.097778",NOX,japan-soramame,ppm,0.003,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"35.693889, 140.098333",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????4-1,"36.027222, 139.716111",PM2.5,japan-soramame,µg/m³,2.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"35.443333, 139.368056",NO2,japan-soramame,ppm,0.006,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"35.908333, 140.052778",NOX,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"35.908333, 140.052778",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"36.175833000000004, 139.75888899999998",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????????,"35.1625, 136.901111",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????????,"35.134444, 136.883333",NO,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????????,"35.073056, 136.916667",PM2.5,japan-soramame,µg/m³,3.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????????,"35.099722, 136.890278",NO2,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????,"35.331667, 139.901944",SO2,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????,"35.319444, 140.056667",PM2.5,japan-soramame,µg/m³,5.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????,"34.236389, 132.583889",NO2,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????1-1,"34.041667, 131.830278",NOX,japan-soramame,ppm,0.018,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????,"35.774722, 139.621389",NO2,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"35.616667, 139.722222",CO,japan-soramame,ppm,0.3,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????????,"33.976944, 133.552778",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"33.988056, 133.589167",NO,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????????,"33.9475, 133.420833",SO2,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"35.036389, 136.626944",NO2,japan-soramame,ppm,0.003,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"33.421667, 130.519722",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????,"35.716667, 139.816667",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????,"35.716667, 139.816667",NOX,japan-soramame,ppm,0.003,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????????,"35.305833, 137.170278",PM2.5,japan-soramame,µg/m³,3.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"33.231667, 131.595556",NOX,japan-soramame,ppm,0.004,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????????,"33.185556, 131.553889",SO2,japan-soramame,ppm,0.008,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????,"33.215, 131.594722",NOX,japan-soramame,ppm,0.017,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"35.484167, 139.4625",NO2,japan-soramame,ppm,0.005,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"34.515833, 135.737222",NOX,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"34.515833, 135.737222",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"35.355, 136.614444",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????,"33.030833, 130.437778",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????,"33.026667, 130.44833300000002",CO,japan-soramame,ppm,0.9,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"35.573056, 139.686389",NOX,japan-soramame,ppm,0.01,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????,"36.500833, 137.863056",NO2,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"34.843333, 134.7",NO,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,?????????????,"34.843333, 134.7",NO2,japan-soramame,ppm,0.004,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,????????????,"34.781944, 134.7075",PM2.5,japan-soramame,µg/m³,7.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????1408??,"33.101389, 129.982222",NOX,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????1408??,"33.101389, 129.982222",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,???????????????,"36.484444, 139.867222",NOX,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan,unknown,Good
JP,unknown,??????????????,"36.558333, 139.885833",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan,unknown,Good
